Name,Armor Class,Hit Points,Speed,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,Damage Immunities,Damage Resistances,Damage Vulnerabilities,Condition Immunities,Senses,Languages,Challenge,attacks&moves,Hit Dice,Armor Note
Strahd von Zarovich,16,144,30 ft.,18,18,18,20,15,18,"Dex +9, Wis +7, Cha +9","Arcana +15, Perception +12, Religion +10, Stealth +14",None,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",None,None,darkvision 120 ft.,"Abyssal, Common, Draconic, Elvish, Giant, Infernal","15 (13,000 XP)","{'Shapechanger': ""If Strahd isn't in running water or sunlight, he can use his action to polymorph into a Tiny bat, a Medium wolf, or a Medium cloud of mist, or back into his true form."", 'Legendary Resistance (3/Day)': 'If Strahd fails a saving throw, he can choose to succeed instead.', 'Misty Escape': ""When he drops to 0 hit points outside his coffin, Strahd transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that he isn't in running water or sunlight. If he can't transform, he is destroyed."", 'Regeneration': ""Strahd regains 20 hit points at the start of his turn if he has at least 1 hit point and isn't in running water or sunlight. If he takes radiant damage or damage from holy water, this trait doesn't function at the start of his next turn."", 'Spellcasting': 'Strahd is a 9th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 18, +10 to hit with spell attacks). Strahd has the following wizard spells prepared:\n\nCantrips (at will): mage hand, prestidigitation, ray of frost\n1st level (4 slots): comprehend languages, fog cloud, sleep\n2nd level (3 slots): detect thoughts, gust of wind, mirror image\n3rd level (3 slots): animate dead, fireball, nondetection\n4th level (3 slots): blight, greater invisibility, polymorph\n5th level (1 slot): animate objects, scrying', 'Spider Climb': 'Strahd can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.', 'Vampire Weaknesses': 'Strahd has the following flaws. ', 'Multiattack (Vampire Form Only)': 'Strahd makes two attacks, only one of which can be a bite attack.', 'Unarmed Strike (Vampire Form Only)': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 8 (1d8+4) bludgeoning damage, plus 14 (4d6) necrotic damage. If the target is a creature, Strahd can grapple it (escape DC 18) instead of dealing the bludgeoning damage.', 'Bite (Bat or Vampire Form Only)': ""Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by Strahd, incapacitated, or restrained. Hit: 7 (1d6+4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and Strahd regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if  its hit point maximum is reduced to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under Strahd's control."", 'Charm': ""Strahd targets one humanoid he can see within 30 ft. of him. If the target can see Strahd, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed. The charmed target regards Strahd as a trusted friend to be heeded and protected. The target isn't under Strahd's control, but it takes Strahd's requests and actions in the most favorable way and lets Strahd bite it."", 'Children of the Night (1/day)': ""Strahd magically calls 2d4 swarms of bats or swarms rats, provided that the sun isn't up. While outdoors, Strahd can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of Strahd and obeying his spoken commands. The beasts remain for 1 hour, until Strahd dies, or until he dismisses them as a bonus action."", 'Legendary Actions': ""Strahd can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. Strahd regains spent legendary actions at the start of his turn."", 'Move': 'Strahd moves up to his speed without provoking opportunity attacks.', 'Unarmed Strike': 'Strahd makes one unarmed strike.', 'Bite (Costs 2 Actions)': 'Strahd makes one bite attack.\n\nSource:Curse of Strahd'}",17d8+68,natural armor
Strahd Zombie,8,30,20 ft.,13,6,16,3,6,5,Wis +0,,poison,None,None,poisoned,darkvision 60 ft.,understands the languages it knew in life but can't speak,1 (200 XP),"{'Loathsome Limbs': 'Whenever the zombie takes at least 5 bludgeoning or slashing damage at one time, roll a d20 to determine what else happens to it: \n\n1-8: One leg is severed from the zombie if it has any legs left.\n\n9-16: One arm is severed from the zombie if it has any arms left.\n\n17-20: The zombie is decapitated.', 'Multiattack': 'The zombie makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4+1) piercing damage.', 'Claw': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6+1) slashing damage.\n\nSource:Curse of Strahd'}",4d8+12,None
Swarm of Bats,12,22,"0 ft., fly 30 ft.",5,15,10,2,12,4,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 60 ft.,,1/4 (50 XP),"{'Echolocation': ""The swarm can't use its blindsight while deafened."", 'Keen Hearing': 'The swarm has advantage on Wisdom (Perception) checks that rely on hearing.', 'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +4 to hit, reach 0 ft., one creature in the swarm's space. Hit: 5 (2d4) piercing damage, or 2 (1d4) piercing damage if the swarm has half of its hit points or fewer.""}",5d8,None
Swarm of Beetles,12,22,"20 ft., burrow 5 ft., climb 20 ft.",3,13,10,1,7,1,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""}",5d8,natural armor
Swarm of Centipedes,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.\n\nA creature reduced to 0 hit points by a swarm of centipedes is stable but poisoned for 1 hour, even after regaining hit points, and paralyzed while poisoned in this way.""}",5d8,natural armor
Swarm of Cranium Rats,12,36,30 ft.,9,14,10,15,11,14,,,None,"ludgenoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 30 ft.,telepathy 30 ft.,"5 (1,800 XP)","{'Illumination': 'As a bonus action, the swarm can shed dim light from its brains in a 5-foot radius, increase the illumination to bright light in a 5- to 20-foot radius (and dim light for an additional number of feet equal to the chosen radius), or extinguish the light.', 'Innate Spellcasting (Psionics)': ""The swarm's innate spellcasting ability is Intelligence (spell save DC 13). As long as it has more than half of its hit points, it can innately cast the following spells, requiring no components::\n\nAt will: command, comprehend languages, detect thoughts\n1/day each: confusion, dominate monster"", 'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points."", 'Telepathic Shroud': 'The swarm is immune to any effect that would sense its emotions or read its thoughts. as well as to all divination spells.', 'Bites': ""Melee Weapon Attack: +5 to hit, reach 0 ft., one target in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.\n\nSource:Volo's Guide to Monsters""}",8d8,None
Swarm of Insects,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""}",5d8,natural armor
Swarm of Poisonous Snakes,14,36,"30 ft., swim 30 ft.",8,18,11,1,10,3,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,2 (450 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny snake. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.""}",8d8,None
Swarm of Quippers,13,28,"0 ft., swim 40 ft.",13,16,9,1,7,2,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 60 ft.,,1 (200 XP),"{'Blood Frenzy': ""The swarm has advantage on melee attack rolls against any creature that doesn't have all its hit points."", 'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny quipper. The swarm can't regain hit points or gain temporary hit points."", 'Water Breathing': 'The swarm can breathe only underwater.', 'Bites': ""Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.""}",8d8-8,None
Swarm of Rats,10,24,30 ft.,9,11,9,2,10,3,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",darkvision 30 ft.,,1/4 (50 XP),"{'Keen Smell': 'The swarm has advantage on Wisdom (Perception) checks that rely on smell.', 'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.""}",7d8-7,None
Swarm of Ravens,12,24,"10 ft., fly 50 ft.",6,14,8,3,12,6,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",,,1/4 (50 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can't regain hit points or gain temporary hit points."", 'Beaks': ""Melee Weapon Attack: +4 to hit, reach 5 ft., one target in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.""}",7d8-7,None
Swarm of Rot Grubs,8,22,"5 ft., climb 5 ft.",2,7,10,1,2,1,,,None,"piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny maggot. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +0 to hit, reach 0 ft., one creature in the swarm's space. Hit: The target is infested by 1d4 rot grubs. At the start of each of the target's turns, the target takes 1d6 piercing damage per rot grub infesting it. Applying fire to the bite wound before the end of the target's next turn deals 1 fire damage to the target and kills these rot grubs. After this time, these rot grubs are too far under the skin to be burned. If a target infested by rot grubs ends its turn with 0 hit points, it dies as the rot grubs burrow into its heart and kill it. Any effect that cures disease kills all rot grubs infesting the target.\n\nSource:Volo's Guide to Monsters""}",5d8,None
Swarm of Spiders,12,22,"20 ft., climb 20 ft.",3,13,10,1,7,1,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'Spider Climb': 'The swarm can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.', 'Web Sense': 'While in contact with a web, the swarm knows the exact location of any other creature in contact with the same web.', 'Web Walker': 'The swarm ignores movement restrictions caused by webbing.', 'Bites': ""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""}",5d8,natural armor
Swarm of Wasps,12,22,"5 ft., fly 30 ft.",3,13,10,1,7,1,,,None,"ludgeoning, piercing, slashing",None,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned",lindsight 10 ft.,,1/2 (100 XP),"{'Swarm': ""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points."", 'Bites': ""Melee Weapon Attack: +3 to hit, reach 0 ft., one target in the swarm's space. Hit: 10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.""}",5d8,natural armor
Swashbuckler,17,66,30 ft.,12,18,12,14,11,15,,"Acrobatics +8, Athletics +5, Persuasion +6",None,None,None,None,,any one language (usually Common),3 (700 XP),"{'Lightfooted': 'The swashbuckler can take the Dash or Disengage action as a bonus action on each of its turns.', 'Suave Defense': 'While the swashbuckler is wearing light or no armor and wielding no shield, its AC includes its Charisma modifier.', 'Multiattack': 'The swashbuckler makes three attacks: one with a dagger and two with its rapier.', 'Dagger': 'Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4+4) piercing damage.', 'Rapier': ""Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.\n\nSource:Volo's Guide to Monsters""}",12d8+12,leather armor
Talis the White,18,58,30 ft.,14,12,14,10,16,16,"Wis +6, Cha +6","Deception +6, Insight +6, Perception +6, Persuasion +6",None,None,None,None,darkvision 60 ft.,"Common, Draconic, Elvish, Infernal","5 (1,800 XP)","{'Special Equipment': 'Talis has +1 scale mail and a wand of winter.', 'Fey Ancestry': ""Talis has advantage on saving throws against being charmed, and magic can't put her to sleep."", 'Spellcasting': 'Talis is a 9th-level spellcaster that uses Wisdom as her spellcasting ability (spell save DC 14, +6 to hit with spell attacks). Talis has the following spells prepared from the cleric spell list: \n\nCantrips (at will): guidance, resistance, thaumaturgy\n1st level (4 slots): command, cure wounds, healing word, inflict wounds\n2nd level (3 slots): blindness/deafness, lesser restoration, spiritual weapon (spear) \n3rd level (3 slots): dispel magic, mass healing word, sending\n4th level (3 slots): death ward, freedom of movement\n5th level (1 slot): insect plague', 'Winter Strike (3/Day)': 'Once per turn, when Talis hits with a melee attack, she can expend a use of this trait to deal an extra 9 (2d8) cold damage.', 'Spear': 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. Hit: 6 (1d6 + 2) piercing damage.\n\nSource:Hoard of the Dragon Queen'}",9d8+18,"scale mail +1, shield"
Tanarukk,14,95,30 ft.,18,13,20,9,9,9,,"Intimidation +2, Perception +2",None,"fire, poison",None,None,darkvision 60 ft.,"Abyssal, Common, Orc","5 (1,800 XP)","{'Aggressive': 'As a bonus action, the tanarukk can move up to its speed toward a hostile creature that it can see.', 'Magic Resistance': 'The tanarukk has advantage on saving throws against spells and other magical effects.', 'Multiattack': 'The tanarukk makes two attacks: one with its bite and one with its greatsword.', 'Bite': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.', 'Greatsword': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6+4) slashing damage.', 'Unbridled Fury': ""In response to being hit by a melee attack, the tanarukk can make one melee weapon attack with advantage against the attacker.\n\nSource:Volo's Guide to Monsters""}",10d8+50,natural armor
Tarrasque,25,676,40 ft.,30,11,30,3,11,11,"Int +5, Wis +9, Cha +9",,"fire, poison, bludgeoning, piercing, and slashing from nonmagical weapons",None,None,"charmed, frightened, paralyzed, poisoned",lindsight 120 ft.,,"30 (155,000 XP)","{'Legendary Resistance (3/Day)': 'If the tarrasque fails a saving throw, it can choose to succeed instead.', 'Magic Resistance': 'The tarrasque has advantage on saving throws against spells and other magical effects.', 'Reflective Carapace': 'Any time the tarrasque is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the tarrasque is unaffected. On a 6, the tarrasque is unaffected, and the effect is reflected back at the caster as though it originated from the tarrasque, turning the caster into the target.', 'Siege Monster': 'The tarrasque deals double damage to objects and structures.', 'Multiattack': 'The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tai l. It can use its Swallow instead of its bite.', 'Bite': ""Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the tarrasque can't bite another target."", 'Claw': 'Melee Weapon Attack: +19 to hit, reach 15 ft., one target. Hit: 28 (4d8 + 10) slashing damage.', 'Horns': 'Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 32 (4d10 + 10) piercing damage.', 'Tail': 'Melee Weapon Attack: +19 to hit, reach 20 ft., one target. Hit: 24 (4d6 + 10) bludgeoning damage. If the target is a creature, it must succeed on a DC 20 Strength saving throw or be knocked prone.', 'Frightful Presence': ""Each creature of the tarrasque's choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the tarrasque is within line of sight, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the tarrasque's Frightful Presence for the next 24 hours."", 'Swallow': ""The tarrasque makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, the target takes the bite's damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the tarrasque, and it takes 56 (16d6) acid damage at the start of each of the tarrasque's turns.\n\nIf the tarrasque takes 60 damage or more on a single turn from a creature inside it, the tarrasque must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the tarrasque. If the tarrasque dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 30 feet of movement, exiting prone."", 'Legendary Actions': ""The tarrasque can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The tarrasque regains spent legendary actions at the start of its turn."", 'Attack': 'The tarrasque makes one claw attack or tail attack.', 'Move': 'The tarrasque moves up to half its speed.', 'Chomp (Costs 2 Actions)': 'The tarrasque makes one bite attack or uses its Swallow.'}",33d20+330,natural armor
Tarul Var,16,105,30 ft.,11,16,16,19,14,16,"Con +8, Int +9, Wis +7","Arcana +9, History +9, Insight +7, Perception +7",poison,"cold, lightning, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",None,"charmed, exhaustion, frightened, paralyzed, poisoned",darkvision 60 ft.,"Abyssal, Common, Infernal, Primordial, Thayan","13 (10,000 XP)","{'Source': 'tales from the yawning portal,  page 244', 'Undead Nature': ""A lich doesn't require air, food, drink, or sleep."", 'Focused Conjuration': ""While Var is concentrating on a conjuration spell, his concentration can't be broken as a result of taking damage."", 'Legendary Resistance (3/Day)': 'If Var fails a saving throw, he can choose to succeed instead .', 'Rejuvenation': 'If Var is destroyed but his phylactery remains intact, Var gains a new body in ldlO days, regaining all his hit points and becoming active again. The new body appears within 5 feet of the phylactery.', 'Spellcasting': ""Var is a 12th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). He has the following wizard spells prepared:\n\nCantrips (at will):.fire bolt, mage hand, minor illusion, prestidigitation, ray of frost \n\n1st level (4 slots): detect magic, magic missile, shield, unseen servant*\n\n2nd level (3 slots): detect thoughts, flaming sphere,* mirror image, scorching ray \n\n3rd level (3 slots): counterspell, dispel magic, fireball\n\n4th level (3 slots): dimension door,* Evard's black tentacles*\n\n5th level (3 slots): cloudkill,* scrying \n\n6th level (1 slot): circle of death \n\n*Conjuration spell of 1st level or higher."", 'Turn Resistance': 'Var has advantage on saving throws against any effect that turns undead .', 'Paralyzing Touch': 'Melee Spell Attack: +9 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage. The target must succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.', 'Benign Transposition': 'Var teleports up to 30 feet to an unoccupied space he can see. Alternatively, he can choose a space within range that is occupied by a Small or Medium creature. If that creature is willing, both creatures teleport, swapping places. Var can use this feature again only after he finishes a long rest or casts a conjuration spell of 1st level or higher.', 'Legendary Actions': ""Var can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. Var regains spent legendary actions at the start of his turn."", 'Cantrip': 'Var casts a cantrip.', 'Paralyzing Touch (Costs 2 Actions)': 'Var uses Paralyzing Touch .', 'Frightening Gaze (Costs 2 Actions)': ""Var fixes his gaze on one creature he can see within 10 feet of him . The target must succeed on a DC 17 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to Var's gaze for the next 24 hours.\n\nSource:Yawning Portal""}",14d8+42,natural armor
Thayan Warrior,16,52,30 ft.,16,13,14,10,11,11,,Perception +2,None,None,None,None,,"Common, Thayan",2 (450 XP),"{'Source': 'tales from the yawning portal,  page 246', 'Doomvault Devotion': 'Within the Doomvault, the warrior has advantage on saving throws against being charmed or frightened .', 'Pack Tactics': ""The warrior has advantage on an attack roll against a creature if at least one of the warrior's allies is within 5 feet of the creature and the ally isn't incapacitated."", 'Multiattack': 'The warrior makes two melee attacks.', 'Longsword': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1dlO + 3) slashing damage if used with two hands.', 'Javelin': 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.\n\nSource:Yawning Portal'}",8d8+16,"chain shirt, shield"
The Pudding King,13,49,30 ft.,10,16,14,12,8,17,"Con +5, Cha +6","Arcana +4, Perception +2, Stealth +6, Survival +2",None,"acid, poison",None,poisoned,darkvision 60 ft.,"Abyssal, Gnomish, Terran, Undercommon","4 (1,100 XP)","{'Stone Camouflage': 'The Pudding King has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'Gnome Cunning': 'The Pudding King has advantage on Intelligence, Wisdom, and Charisma saving throws against magic.', 'Innate Spellcasting': ""The Pudding King's innate spellcasting ability is Intelligence (spell save DC 12). He can innately cast the following spells, requiring no material components:\n\nAt will: nondetection (self only)\n\n1/day each: blindness/deafness, blur, disguise self"", 'Insanity': 'The Pudding King has advantage on saving throws against being charmed or frightened.', 'Spellcasting': 'The Pudding King is a 9th-level spellcaster. His spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). The Pudding King knows the following sorcerer spells:\n\nCantrips (at will): acid splash, light, mage hand, poison spray, prestidigitation\n\n1st level (4 slots): false life, mage armor, ray of sickness, shield\n\n2nd level (3 slots): crown of madness, misty step\n\n3rd level (3 slots): gaseous form, stinking cloud\n\n4th level (3 slots): blight, confusion\n\n5th level (1 slot): cloudkill', 'War Pick': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit 4 (1d8) piercing damage.', 'Change Shape': 'The Pudding King magically transforms into an ooze, or back into his true form. He reverts to his true form if he dies. Any equipment he is wearing or carrying is absorbed by the new form. In ooze form, the Pudding King retains his alignment, hit points, Hit Dice, and Intelligence, Wisdom, and Charisma scores, as well as this action. His statistics and capabilities are otherwise replaced by those of the new form.', 'Create Green Slime (Recharges after a Long Rest)': 'The Pudding King creates a patch of green slime (see ""Dungeon Hazards"" in chapter 5 of the Dungeon Master\'s Guide). The slime appears on a section of wall, ceiling, or floor within 30 feet of the Pudding King.\n\nSource:Out of the Abyss'}",9d6+18,16 with mage armor
Thorn Slinger,11,32,10 ft.,13,12,12,1,10,1,,,None,None,None,"linded, deafened, frightened",lindsight 60 ft. (blind beyond this radius),,1/2 (100 XP),"{'Source': 'tales from the yawning portal,  page 246', 'Adhesive Blossoms': 'The thorn slinger adheres to anything that touches it. A Medium or smaller creature adhered to the thorn slinger is also grappled by it (escape DC 11). Ability checks made to escape this grapple have disadvantage.', 'False Appearance': 'While the thorn slinger remains motionless, it is indistinguishable from an inanimate bush.', 'Thorns': 'Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 30 ft., one target. Hit: 8 (2d6 + 1) piercing damage.\n\nSource:Yawning Portal'}",5d10+5,None
Thorny,14,27,30 ft.,13,12,13,2,10,6,,"Perception +4, Stealth +3",None,"lightning, piercing",None,None,darkvision 60 ft.,,1 (200 XP),"{'Plant Camouflage ': 'The thorny has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring plant life.', 'Regeneration': ""The thorny regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the thorny's next turn. The thorny dies only if it starts its turn with 0 hit points and doesn't regenerate."", 'Bite': ""Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6+1) piercing damage.\n\nSource:Volo's Guide to Monsters""}",5d8+5,natural armor
Thri-kreen,15,33,40 ft.,12,15,13,8,12,7,,"Perception +3, Stealth +4, Survival +3",None,None,None,None,darkvision 60 ft.,Thri-kreen,1 (200 XP),"{'Chameleon Carapace': 'The thri-kreen can change the color of its carapace to match the color and texture of its surroundings. As a result, it has advantage on Dexterity (Stealth) checks made to hide.', 'Standing Leap': ""The thri-kreen's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start."", 'Multiattack': 'The thri-kreen makes two attacks: one with its bite and one with its claws.', 'Bite': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. If the saving throw fails by 5 or more, the target is also paralyzed while poisoned in this way. The poisoned target can repeat the saving throw on each of its turns, ending the effect on itself on a success.', 'Claws': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.', 'Variant: Weapons Multiattack': 'The thri-kreen makes two gythka attacks or two chatkcha attacks.', 'Variant: Gythka': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.', 'Variant: Chatkcha': 'Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) slashing damage.'}",6d8+6,natural armor
